Song Name,Singer,Lyrics
Dommage,Bigflo & Oli,"Louis prend son bus, comme tous les matins
Il croisait cette même fille, avec son doux parfum
Qu'elle vienne lui parler, il espère tous les jours
Ce qu'il ressent au fond d'lui, c'est ce qu'on appelle l'amour
Mais Louis, il est timide et elle, elle est si belle
Il ne veut pas y aller, il est collé au fond d'son siège
Une fois elle lui a souri quand elle est descendue
Et depuis ce jour là, il ne l'a jamais revue

Ah il aurait dû y aller, il aurait dû le faire, crois-moi
On a tous dit : ""Ah c'est dommage, ah c'est dommage, c'est p't'être la dernière fois""

Yasmine a une belle voix, elle sait qu'elle est douée
Dans la tempête de sa vie, la musique est sa bouée
Face à ses mélodies, le monde est à ses pieds
Mais son père lui répétait: ""Trouve-toi un vrai métier""
Parfois elle s'imagine sous la lumière des projecteurs
Sur la scène à recevoir les compliments et les jets de fleurs
Mais Yasmine est rouillée, coincée dans la routine
Ça lui arrive de chanter quand elle travaille à l'usine

Ah elle aurait dû y aller, elle aurait dû le faire, crois-moi
On a tous dit : ""Ah c'est dommage, ah c'est dommage, c'est p't'être la dernière fois""
Ah elle aurait dû y aller, elle aurait dû le faire, crois-moi
On a tous dit : ""Ah c'est dommage, ah c'est dommage, c'est p't'être la dernière fois""

Diego est affalé au fond du canapé
Il engueule son p'tit frère quand il passe devant la télé
Ses amis sont sortis, il ne les a pas suivis
Comme souvent seule la Lune viendra lui tenir compagnie
Diego est triste il ne veut rien faire de sa nuit
Il déprime de ne pas trouver la femme de sa vie
Mais mon pauvre Diego, tu t'es tellement trompé
C'était à cette soirée que t'allais la rencontrer


Ah il aurait dû y aller, il aurait dû le faire, crois-moi
On a tous dit : ""Ah c'est dommage, ah c'est dommage, c'est p't'être la dernière fois""

Pauline elle est discrète, elle oublie qu'elle est belle
Elle a sur tout le corps des tâches de la couleur du ciel
Son mari rentre bientôt, elle veut même pas y penser
Quand il lui prend le bras, c'est pas pour la faire danser
Elle repense à la mairie, cette décision qu’elle a prise
A cet après midi où elle avait fait sa valise
Elle avait un avenir, un fils à élever
Après la dernière danse, elle s'est pas relevée

Ah elle aurait dû y aller, elle aurait dû le faire, crois-moi
On a tous dit : ""Ah c'est dommage, ah c'est dommage, c'est p't'être la dernière fois""
On a tous dit : ""Ah c'est dommage, ah c'est dommage, ah c'est dommage, ah c'est dommage""
On a tous dit : ""Ah c'est dommage, ah c'est dommage, ah c'est dommage, ah c'est dommage""

Ah elle aurait dû y aller, elle aurait dû le faire, crois-moi
On a tous dit : ""Ah c'est dommage, ah c'est dommage, c'est p't'être la dernière fois""
Ah elle aurait dû y aller, elle aurait dû le faire, crois-moi
On a tous dit : ""Ah c'est dommage, ah c'est dommage, c'est p't'être la dernière fois""

Vaut mieux vivre avec des remords qu'avec des regrets
Vaut mieux vivre avec des remords qu'avec des regrets
Vaut mieux vivre avec des remords qu'avec des regrets
Vaut mieux vivre avec des remords c'est ça le secret"
L Aventurier,Indochine,"Égaré dans la vallée infernale
Le héros s'appelle Bob Morane
À la recherche de l'Ombre Jaune
Le bandit s'appelle mister Kali Jones
Avec l'ami Bill Ballantine
Sauvé de justesse des crocodiles
Stop au trafic des Caraïbes
Escale dans l'opération Nadawieb
Le cœur tendre dans le lit de Miss Clark
Prisonnière du Sultan de Jarawak
En pleine terreur à Manicouagan
Isolé dans la jungle birmane
Emprisonnant les flibustiers
L'ennemi y est démasqué
On a volé le collier de Civa
Le Maharadjah en répondra
Et soudain surgit face au vent
Le vrai héros de tous les temps
Bob Morane contre tout chacal
L'aventurier contre tout guerrier
Bob Morane contre tout chacal
L'aventurier contre tout guerrier
Dérivant à bord du Sampang
L'aventure au parfum d'Ylalang
Son surnom, Samouraï du Soleil
En démantelant le gang de l'Archipel
L'otage des guerriers du Doc Xhatan
Il s'en sortira toujours à temps
Tel L'aventurier solitaire
Bob Morane est le roi de la terre
Et soudain surgit face au vent
Le vrai héros de tous les temps
Bob Morane contre tous chacal
L'aventurier contre tout guerrier
Bob Morane contre tout chacal
L'aventurier contre tout guerrier"
Bella,GIMS,"Bella, Bella
Bella, Bella
Bella, Bella
Bella, Bella

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

C'était un phénomène, elle n'était pas humaine
Le genre de femme qui change le plus grand délinquant en gentleman
Une beauté sans pareille, tout le monde veut s'en emparer
Sans savoir qu'elle les mène en bateau
Hypnotisés, on pouvait tout donner
Elle n'avait qu'à demander, puis aussitôt on démarrait
On cherchait à l'impressionner, à devenir son préféré
Sans savoir qu'elle les mène en bateau
Mais quand je la vois danser le soir
J'aimerais devenir la chaise sur laquelle elle s'assoit
Ou moins que ça, un moins que rien
Juste une pierre sur son chemin

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

Oui, c'est un phénomène qui aime hanter nos rêves
Cette femme était nommée ""Bella la peau dorée""
Les femmes la haïssaient, toutes la jalousaient
Mais les hommes ne pouvaient que l'aimer
Elle n'était pas d'ici, ni facile, ni difficile
Synonyme de ""magnifique"", à ses pieds: que des disciples
Qui devenaient vite indécis, tremblants comme des feuilles
Elle te caressait sans même te toucher
Mais quand je la vois danser le soir
J'aimerais devenir la chaise sur laquelle elle s'assoit
Ou moins que ça, un moins que rien
Juste une pierre sur son chemin

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

Allez, fais-moi tourner la tête, hé hé
Tourner la tête, hé hé
Rends-moi bête comme mes ieds-p', hé hé
Bête comme mes ieds-p', hé hé
J'suis l'ombre de ton ien-ch', hé hé
L'ombre de ton ien-ch', hé hé
Fais-moi tourner la tête, hé hé
Tourner la tête, hé hé
Fais-moi tourner la tête, hé hé
Tourner la tête, hé hé
Rends-moi bête comme mes ieds-p', hé hé
Bête comme mes ieds-p', hé hé
J'suis l'ombre de ton ien-ch', hé hé
L'ombre de ton ien-ch', hé hé
Fais-moi tourner la tête, hé hé
Tourner la tête, hé hé

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là

Elle répondait au nom de Bella
Les gens du coin ne voulaient pas la cher-lâ
Elle faisait trembler tous les villages
Les gens me disaient: Méfie-toi d'cette fille-là"
Charles Aznavour,À tout jamais,"Quand nous aurons fermé les yeux
À tout jamais, à tout jamais
À l'instant du dernier adieu
J'en aurai encore du regret

J'en aurai encore du remords
Et partirai avec ma peine
Et pour peu que je me souvienne
Ce mal n'en sera que plus fort

Car nous avons fermé nos coeurs
À tout jamais, à tout jamais
Pour remplacer tant de bonheur
Par du chagrin et des regrets

Lorsque les siècles bout à bout
À tout jamais, à tout jamais
Aurons mis le passé sur nous
Et que l'oubli sera complet

S'il reste encore une lueur
S'il reste encore un rien de flamme
Sous la cendre tiède de l'âme
Qui paraît-il jamais ne meurt

Pour trouver le calme infini
À tout jamais, à tout jamais
Tout comme au temps de notre vie
Mon amour, je te chercherai

T'appellerai
Te trouverai
Te garderai
À tout jamais"
"Ella, elle l' a",France Gall,"C'est comme une gaieté, comme un sourire
Quelque chose dans la voix qui paraît nous dire ""Viens""
Qui nous fait sentir étrangement bien
C'est comme toute l'histoire du peuple noir
Qui se balance entre l'amour et le désespoir
Quelque chose qui danse en toi
Si tu l'as, tu l'as
Ella, elle l'a
Hou hou houhou hou houhou
Ce j'n'sais quoi
Hou hou houhou hou houhou
Que d'autres n'ont pas
Qui nous met dans un drôle d'état
Ella, elle l'a
Ella, elle l'a (elle l'a)
Houhou houhou hou houhou
Cette drôle de voix (elle l'a)
Hou hou houhou hou houhou
Cette drôle de joie
Ce don du ciel qui la rend belle
Ella, elle l'a
Ella, elle l'a (elle l'a)
Houhou houhou hou houhou
Ella, elle l'a (elle l'a)
Houhou houhou hou houhou
Elle a
Ce tout petit supplément d'âme
Cet indéfinissable charme
Cette petite flamme
Tape sur des tonneaux, sur des pianos
Sur tout ce que Dieu peut te mettre entre les mains
Montre ton rire ou ton chagrin
Mais que tu n'aies riens, que tu sois roi
Que tu cherches encore les pouvoirs qui dorment en toi
Tu vois ça ne s'achète pas
Quand tu l'as, tu l'as
Ella, elle l'a
Houhou houhou hou houhou
Ce j'n'sais quoi
Houhou houhou hou houhou
Que d'autres n'ont pas
Qui nous met dans un drôle d'état
Ella, elle l'a
Ella, elle l'a (elle l'a)
Houhou houhou hou houhou
Ella, elle l'a (elle l'a)
Houhou houhou hou houhou
Ella, elle l'a
Ella, elle l'a
Ella, elle l'a
Ella, elle l'a
Ella, elle l'a
Ella, elle l'a
Ella, elle l'a
Houhou houhou hou houhou
Ce j'n'sais quoi
Que d'autres n'ont pas
Qui nous met dans un drôle d'état
Ella, elle l'a (elle l'a)
Ella, elle l'a
Houhou houhou hou houhou
Cette drôle de voix
Cette drôle de joie
Ce don du ciel qui la rend belle
Ella, elle l'a (elle l'a)
Ella, elle l'a
Houhou houhou hou houhou
Ella, elle l'a
Ella, elle l'a
Qui nous met dans un drôle d'état"
Bruxelles je t'aime,Angèle,"On n'a pas les tours de New York
On n'a pas de lumière du jour, 6 mois dans l'année
On n'a pas Beaubourg ni la Seine
On n'est pas la ville de l'amour, mais bon vous voyez
Et sûrement que dès ce soir le ciel couvrira une tempête
Mais après l'orage avec des bières, les gens feront la fête
Bruxelles je t'aime, Bruxelles je t'aime
Tu m'avais manqué
Bruxelles je t'aime, Bruxelles je t'aime
T'es ma préférée
Bruxelles je t'aime, Bruxelles je t'aime
Tu m'avais manqué
T'es la plus belle, oui t'es la plus belle
Paris m'appelle quand je veux rentrer chez moi
Quand le ciel gris et la pluie me manquent, je vais mieux quand je te vois
Les villes sont belles mais moi je ne pense qu'à toi
Quand mon pays et ma ville me manquent, moi je ne t'oublie pas
On n'a pas la plus longue de toutes les histoires
On le sait on n'a pas toujours gagné
Et d'habitude, j'ai l'attitude, même si c'est dur, de garder espoir
Quand on n'est pas les premiers
Les Marolles, Flagey, Saint-Gilles, Laeken à qui je dois mon nom
Bruxelles je t'aime, Bruxelles je t'aime
Tu m'avais manqué
Bruxelles je t'aime, Bruxelles je t'aime
T'es ma préférée
Bruxelles je t'aime, Bruxelles je t'aime
Tu m'avais manqué
T'es la plus belle, oui, t'es la plus belle
Paris m'appelle quand je veux rentrer chez moi
Quand le ciel gris et la pluie me manquent, je vais mieux quand j'te vois
Les villes sont belles mais moi je ne pense qu'à toi
Quand mon pays et ma ville me manquent, moi, je ne t'oublie pas
Et si un jour elle se sépare et qu'on ait à choisir un camp
Ce serait le pire des cauchemars, tout ça pour une histoire de langue
J'ai vécu mes plus belles histoires en français et en flamand
Laat mij het zeggen in het Vlaams, dank u Brussel voor mijn naam
Et si un jour, elle se sépare et qu'on ait à choisir un camp
Ce serait le pire des cauchemars, tout ça pour une histoire de langue
J'ai vécu mes plus belles histoires en français et en flamand
Laat mij het zeggen in het Vlaams, dank u Brussel
Bruxelles je t'aime, Bruxelles je t'aime
Tu m'avais manqué
Bruxelles je t'aime, Bruxelles je t'aime
T'es ma préférée
Bruxelles je t'aime, Bruxelles je t'aime
Tu m'avais manqué
T'es la plus belle, oui, t'es la plus belle
Paris m'appelle quand je veux rentrer chez moi
Quand le ciel gris et la pluie me manquent, je vais mieux quand j'te vois
Les villes sont belles mais moi je ne pense qu'à toi
Quand mon pays et ma ville me manquent, moi, je ne t'oublie pas
Paris m'appelle quand je veux rentrer chez moi
Quand le ciel gris et la pluie me manquent, je vais mieux quand j'te vois
Les villes sont belles mais moi je ne pense qu'à toi
Quand mon pays et ma ville me manquent, moi, je ne t'oublie pas"
Un jour je marierai un ange,Pierre de Maere,"Docteur, un jour je marierai un ange
On fera l'amour dans les nuages
En priant pour que rien ne change
Tu sais, une histoire ancrée dans les âges
Docteur, un jour je marierai un ange
On fera l'amour dans les nuages
En priant pour que rien ne change
Ici, l'amour c'est beaucoup, beaucoup trop superficiel
On fait que te répéter un jour ""il tombera du ciel""
Et c'est toujours les mêmes discours
De belles paroles, bientôt vous serez à court
Aussitôt que le jour se lève
Je m'en vais faire un tour et je rêve
Que plus rien ne bouge sauf nos lèvres
Je m'élève, eh
Aussitôt que le jour se lève
Je m'en vais faire un tour et je rêve
D'un amour n'existant pas
Qui pourtant m'attristera
Docteur, un jour je marierai un ange
On fera l'amour dans les nuages
En priant pour que rien ne change
Tu sais, une histoire ancrée dans les âges
Docteur, un jour je marierai un ange
On fera l'amour dans les nuages
En priant pour que rien ne change, ne change
Ici, l'amour c'est beaucoup, beaucoup trop conceptuel
On fait que te répéter ""les hommes, les femmes sont si cruels""
Et c'est jamais comme au cinéma
Décidément on est moins beaux loin des caméras
Aussitôt que le jour se lève
Je m'en vais faire un tour et je rêve
Que plus rien ne bouge sauf nos lèvres
Je m'élève, eh
Aussitôt que le jour se lève
Je m'en vais faire un tour et je rêve
D'un amour n'existant pas
Qui pourtant m'attristera
Docteur, un jour je marierai un ange
On fera l'amour dans les nuages
En priant pour que rien ne change
Tu sais, une histoire ancrée dans les âges
Docteur, un jour je marierai un ange
On fera l'amour dans les nuages
En priant pour que rien ne change, ne change
(Docteur, un jour je marierai un ange
On fera l'amour dans les nuages
En priant pour que rien ne change
Docteur, un jour je marierai un ange
On fera l'amour dans les nuages)"
Casser la voix,Patrick Bruel,"Si ce soir, j'ai pas envie d'rentrer tout seul
Si ce soir, j'ai pas envie d'rentrer chez moi
Si ce soir, j'ai pas envie d'fermer ma gueule
Si ce soir, j'ai envie d'me casser la voix
Casser la voix
Casser la voix
Casser la voix
Casser la voix
J'peux plus croire tout c'qui est marqué sur les murs
J'peux plus voir, la vie des autres même en peinture
J'suis pas là pour les sourires d'après minuit
M'en veux pas, si ce soir, j'ai envie
Casser la voix
Casser la voix
Casser la voix
Casser la voix
Les amis qui s'en vont et les autres qui restent
Se faire prendre pour un con par des gens qu'on déteste
Les rendez-vous manqués et le temps qui se perd
Entre des jeunes usés et des vieux qui espèrent
Et ces flashes qui aveuglent à la télé', chaque jour
Et les salauds qui beuglent la couleur de l'amour
Et les journaux qui traînent, comme je traîne mon ennui
La peur qui est la mienne quand je m'réveille la nuit
Casser la voix
Casser la voix
Casser la voix
Casser la voix
Et les filles de la nuit qu'on voit jamais le jour
Et qu'on couche dans son lit en appelant ça d'l'amour
Et les souvenirs honteux qu'on oublie d'vant sa glace
En s'disant, j'suis dégueu, mais j'suis pas dégueulasse
Doucement les rêves qui coulent sous l'regard des parents
Et les larmes qui roulent sur les joues des enfants
Et les chansons qui viennent comme des cris dans la gorge
Envie d'crier sa haine comme un chat qu'on égorge
Casser la voix
Casser la voix
Casser la voix
Casser la voix
Si ce soir, j'ai pas envie d'rentrer tout seul
Si ce soir, j'ai pas envie d'rentrer chez moi
Si ce soir, j'ai pas envie d'fermer ma gueule
Si ce soir, j'ai envie d'me casser la voix
Casser la voix"
Crush,Nuit Incolore,"J'suis totalement moi quand j'suis à moitié moi
J'accumule les soirées
Je n'les lie plus aux matins
Je peindrai le ciel avec le rouge de ton cœur
Je remplirai la mer avec le goût de mes pleurs
J'suis en enfer et contre toutes
Dans mes souvenirs, goutte à goutte
Les murs m'appellent, l'amour m'redoute
Et même à Paris au mois d'août
Mes mains pleines de caresses
Ont d'la peine et se dessèchent
D'un ""je t'aime"", j'suis en carence
Mes songes saignent sans âme sœur
J'sais pas comment t'le dire
J'ai beau me l'interdire
J'sais pas comment t'le dire
Mais j'ai un crush sur toi
Mon cœur accroche sur toi
Et tu n'le sais même pas
Je n'attends rien de toi
T'habites trop loin de moi
Mais l'dire fait contrepoids
La distance est un démon
Captif d'une fiction
À l'aide, besoin d'remède, yeah
Je retourne le monde et je vagabonde
À l'aide, ton être m'obsède
Je me retrouve emporté par la foudre
Tout c'que j'éprouve, je le nie loin des autres
C'est pas d'ma faute si j'me sens vide
Le cœur en poudre a besoin d'amour liquide
Les yeux humides quand le soir se consolide
Ça m'hypnotise mais l'histoire se réalise
Sous ma gorge brûle une forge
Qui me damne à t'aimer jusqu'en enfer
Coup d'Jupiter, faut qu'il s'abrège
Faut qu'il s'abrège
C'n'est pas le miroir qui est sale
C'est l'reflet d'mon âme
Dans une rafale, je ne t'ai plus qu'en image
J'sais pas comment t'le dire
J'ai beau me l'interdire
J'sais pas comment t'le dire
Mais j'ai un crush sur toi
Mon cœur accroche sur toi
Et tu n'le sais même pas
Je n'attends rien de toi
T'habites trop loin de moi
Mais l'dire fait contrepoids
La distance est un démon
Captif d'une fiction
À l'aide, besoin d'remède, yeah
Je retourne le monde et je vagabonde
À l'aide, ton être m'obsède
Je m'y accroche encore (encore)
C'est mon seul réconfort
J'ai un crush sur toi
Mon cœur accroche sur toi
Et tu n'le sais même pas
Je n'attends rien de toi
T'habites trop loin de moi
Mais l'dire fait contrepoids
La distance est un démon
Captif d'une fiction
À l'aide, besoin d'remède, yeah
Je retourne le monde et je vagabonde
À l'aide, ton être m'obsède
J'ai un crush sur toi
Mon cœur accroche sur toi
Et tu n'le sais même pas
Je n'attends rien de toi
T'habites trop loin de moi
Mais l'dire fait contrepoids"
Je me déteste,Nuit Incolore,"Tous mes coups de cœur ont des goûts de pleurs
Les feux d'artifice ressortent loin des lueurs
Les vautours m'effleurent quand l'esprit se meurt
Je m'en vais retrouver couleur quelque part ailleurs
Je suis né pour décevoir
Porte-parole du désespoir
Je vise la moyenne pour ne pas être différent
Je fréquente les âmes en peine pour braver l'ouragan
Je glisse mes songes sous l'oreiller
Évitons de les réveiller
J'veux être apprécié par au moins quelques étoiles
Je désire que l'on m'espère comme un dernier pétale
Et tout en bas
Soyez heureux
Sans moi (sans moi)
Je me déteste encore
Je nous déteste jusqu'à la mort
Je me déteste encore
Je nous déteste jusqu'à la mort
La noirceur coule à flots loin des regards
Je m'y baigne souvent sans en prendre garde
Je souris à contresens quand on me dit ""prends soin de toi""
J'apprécie enfin le silence quand le vide m'embrasse
Je joue toujours à tout sans vraiment m'amuser
Je n'assume pas ma présence, je ne fais que de m'excuser
Pardonnez-moi si je ne suis pas ce gars
Qui plaît en vendant des rêves au bon endroit
Je veux plus essayer
J'ai la face bien trop souillée
Je recherche mon aimant qui m'aimera profondément
Évidemment qu'avidement, j'ai envie d'amante
Et tout en bas
Soyez heureux
Sans moi (sans moi)
Je me déteste encore
Je nous déteste jusqu'à la mort
Je me déteste encore
Je nous déteste jusqu'à la mort
Confidence
Ce ne sont que des confidences
Je n'ai plus envie de danser ce soir
Je me suis déjà ancré dans certaines mémoires
Mais pourquoi ça recommence
Les temps mauvais recommencent
À jamais, je fermerai le regard
À mon enterrement, je ne serai pas en retard
(pas en retard)
Je me déteste encore
Je nous déteste jusqu'à la mort
Je me déteste encore
Je nous déteste jusqu'à la mort"
Loin,Nuit Incolore,"J'ai fait l'serment d'être utile à tout l'monde
Et d'croire les gens jusqu'à c'que le ciel tombe
J'suis déchiré en un double fragment
Me rassembler ne serait que ma tombe
Je me déplais tous les mois
Sans en sortir une plainte
Et quand j'use de ma voix
C'est pour laisser des empreintes
Aujourd'hui, chacun est roi
Dans un royaume familial
Je n'le mérite pas
Car j'ai l'coeur un peu trop seul
Et doucement, je mets en veille le temps
Puis je pense
À ceux qui dorment encore avec des rêves
Mais pourquoi je me sens si loin
Je m'abandonne dans l'éternité
M'a-t-on une seule fois désiré
J'me sens si loin
Je m'abandonne dans l'éternité
M'a-t-on une seule fois désiré
J'ai l'image fictive de nous deux
Un petit peu dénudés
Et dénué d'postérité
C'est pourtant ça la vérité
J'suis dans des bras
Sans lendemain
Je pleure tout bas
J'ai peur de ce qu'il pourrait advenir de moi
J'm'invente des souvenirs
Pour tuer le temps et me perdre comme avant
Je cherche à me relire
Mais je m'fais emporter par le vent
J'suis le fantôme d'un enfant
Et doucement, je mets en veille le temps
Puis je pense
À ceux qui dorment encore avec des rêves
Mais pourquoi je me sens si loin
Je m'abandonne dans l'éternité
M'a-t-on une seule fois désiré
J'me sens si loin
Je m'abandonne dans l'éternité
M'a-t-on une seule fois désiré
Au fond, je n'suis plus là
Je n'suis plus là pour moi
J'me sens si loin
Je m'abandonne dans l'éternité
M'a-t-on une seule fois désiré
J'me sens si loin
Je m'abandonne dans l'éternité
M'a-t-on une seule fois désiré"
