Song Name,Singer,Lyrics
Voilà,Barbara Pravi,"Écoutez moi
Moi la chanteuse à demi
Parlez de moi
À vos amours, à vos amis
Parler leur de cette fille aux yeux noirs et de son rêve fou
Moi c'que j'veux c'est écrire des histoires qui arrivent jusqu'à vous
C'est tout
Voilà, voilà, voilà, voilà qui je suis
Me voilà même si mise à nue j'ai peur, oui
Me voilà dans le bruit et dans le silence
Regardez moi, ou du moins ce qu'il en reste
Regardez moi, avant que je me déteste
Quoi vous dire, que les lèvres d'une autre ne vous diront pas
C'est peu de chose mais moi tout ce que j'ai je le dépose là, voilà
Voilà, voilà, voilà, voilà qui je suis
Me voilà même si mise à nue c'est fini
C'est ma gueule c'est mon cri, me voilà tant pis
Voilà, voilà, voilà, voilà juste ici
Moi mon rêve mon envie, comme j'en crève comme j'en ris
Me voilà dans le bruit et dans le silence
Ne partez pas, j'vous en supplie restez longtemps
Ça m'sauvera peut-être pas, non
Mais faire sans vous j'sais pas comment
Aimez moi comme on aime un ami qui s'en va pour toujours
J'veux qu'on m'aime parce que moi je sais pas bien aimer mes contours
Voilà, voilà, voilà, voilà qui je suis
Me voilà même si mise à nue c'est fini
Me voilà dans le bruit et dans la fureur aussi
Regardez moi enfin et mes yeux et mes mains
Tout c'que j'ai est ici, c'est ma gueule c'est mon cri
Me voilà, me voilà, me voilà
Voilà, voilà, voilà, voilà
Voilà"
Valses de Vienne,François Feldman,"Du pont des supplices
Tombent les actrices
Et dans leurs yeux chromés
Le destin s'est brouillé
Au café de Flore
La faune et la flore
On allume le monde
Dans une fumée blonde
Maintenant que deviennent
Que deviennent les valses de Vienne?
Dis-moi qu'est-ce que t'as fait
Pendant ces années?
Si les mots sont les mêmes
Dis-moi si tu m'aimes
Maintenant que deviennent
Que deviennent les valses de Vienne?
Et les volets qui grincent
D'un château de province?
Aujourd'hui, quand tu danses
Dis, à quoi tu penses?
Dans la Rome antique
Errent les romantiques
Les amours infidèles
S'écrivent sur logiciels
Du fond de la nuit
Remontent l'ennui
Et nos chagrins de mômes
Dans les pages du Grand Meaulnes
Maintenant que deviennent
Que deviennent les valses de Vienne?
Dis-moi qu'est-ce que t'as fait
Pendant ces années?
Si les mots sont les mêmes
Dis-moi si tu m'aimes
Maintenant que deviennent
Que deviennent les valses de Vienne?
Et les volets qui grincent
D'un château de province?
Aujourd'hui, quand tu danses
Dis, à quoi tu penses?
Maintenant que deviennent
Que deviennent les valses de Vienne?
Dis-moi qu'est-ce que t'as fait
Pendant ces années?
Si les mots sont les mêmes
Dis-moi si tu m'aimes, si tu m'aimes
Maintenant que deviennent
Que deviennent les valses de Vienne?
Et les volets qui grincent
D'un château de province?
Aujourd'hui, quand tu danses
Dis, à quoi tu penses? À quoi tu penses?
"
Vois sur ton chemin,Les Choristes,"Vois sur ton chemin
Gamins oubliés, égarés
Donne-leur la main
Pour les mener vers d'autres lendemains
Donne-leur la main
Pour les mener vers d'autres lendemains
Sens, au cœur de la nuit (au cœur de la nuit)
L'onde d'espoir, ardeur de la vie
Sentier de gloire (ardeur de la vie, de la vie)
Sentier de gloire, sentier de gloire
Bonheurs enfantins
Trop vite oubliés, effacés
Une lumière dorée brille sans fin
Tout au bout du chemin
Vite oubliés, effacés
Une lumière dorée brille sans fin
Sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
Sentier de gloire
Ardeur de la vie, de la vie
Sentier de gloire, sentier de gloire
Vois sur ton chemin
Gamins oubliés, égarés
Donne-leur la main
Pour les mener vers d'autres lendemains
Donne-leur la main
Pour les mener vers d'autres lendemains
Sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
(L'onde d'espoir) sens, au cœur de la nuit (au cœur de la nuit)
Sentier de gloire
Vois sur ton chemin
Gamins oubliés, égarés
Donne-leur la main
Pour les mener vers d'autres lendemains
Donne-leur la main
Pour les mener vers d'autres lendemains
Sens, au cœur de la nuit (au cœur de la nuit)
L'onde d'espoir, ardeur de la vie
Sentier de-, sens, au cœur de la nuit (au cœur de la nuit)
L'onde d'espoir, ardeur de la vie"
Les démons de minuit,Images,"Rue déserte
Dernière cigarette
Plus rien ne bouge
Juste un bar qui éclaire le trottoir
D'un néon rouge
J'ai besoin
De trouver quelqu'un
J'veux pas dormir
Je cherche un peu de chaleur
À mettre dans mon cœur
Ils m'entraînent au bout de la nuit
Les démons de minuit
Ils m'entraînent jusqu'à l'insomnie
Les fantômes de l'ennui
Dans mon verre
Je regarde la mer
Qui se balance
J'veux un disque
De Funky Music
Il faut que ça danse
J'aime cette fille
Sur talons-aiguilles
Qui se déhanche
Ça met un peu de chaleur
Au fond de mon cœur
Ils m'entraînent au bout de la nuit
Les démons de minuit
Ils m'entraînent jusqu'à l'insomnie
Les fantômes de l'ennui
Ils m'entraînent au bout de la nuit
Les démons de minuit
Ils m'entraînent jusqu'à l'insomnie
Les fantômes de l'ennui
J'aime cette fille
Sur talons-aiguilles
Qui se déhanche
Ça met un peu de chaleur
Au fond de mon cœur
Ils m'entraînent au bout de la nuit
Les démons de minuit
Ils m'entraînent jusqu'à l'insomnie
Les fantômes de l'ennui
Ils m'entraînent au bout de la nuit
Les démons de minuit
Ils m'entraînent jusqu'à l'insomnie
Les fantômes de l'ennui
Ils m'entraînent au bout de la nuit
Les démons de minuit
Ils m'entraînent jusqu'à l'insomnie
Les fantômes de l'ennui"
Ramenez la coupe à la maison,,"Eh ça c'est Vegedream de Gagnoa
Casse la démarche comme Samuel, Samuel Umtiti
Casse la démarche comme Samuel, Samuel Umtiti
Casse la démarche comme Samuel, Samuel Umtiti
Casse la démarche comme Samuel, Samuel Umtiti
Et si y'a drah on peut toujours appeler Benjamin Mendy
Et si y'a drah on peut toujours appeler Benjamin Mendy
Ramenez la coupe à la maison
Allez les bleus, allez
20 ans après c'est le moment
Allez les bleus, allez
Ramenez la coupe à la maison
Allez les bleus, allez
20 ans après on est champion
Allez les bleus, allez
Qui contrôle le terrain? (Matuidi)
Blaise Matuidi, eh (Matuidi)
Avec lui on est serein (Matuidi)
Blaise Matuidi, eh (Matuidi)
Qui contrôle le terrain? (Matuidi)
Blaise Matuidi, eh (Matuidi)
Avec lui on est serein (Matuidi)
Blaise Matuidi, eh (Matuidi)
Passement de jambe, crochet à gauche, à droite
Kylian Mbappé
Accélération, virgule, petit-pont, frappe
Kylian Mbappé
J'sais plus si j'suis gaucher ou droitier
Je tire des deux pieds, Ousmane Dembélé
J'sais plus si j'suis gaucher ou droitier
Je tire des deux pieds, Ousmane Dembélé
Ramenez la coupe à la maison
Allez les bleus, allez
20 ans après c'est le moment
Allez les bleus, allez
Ramenez la coupe à la maison
Allez les bleus, allez
20 ans après on est champion
Allez les bleus, allez
Mais comment il s'appelle? Kanté
N'golo, N'golo Kanté
Mais comment il s'appelle? Kanté
N'golo, N'golo Kanté
Mais comment il s'appelle? Kanté
N'golo, N'golo Kanté
Comment il s'appelle? Kanté
N'golo, N'golo Kanté
Maestro Kimpembe, Kimpembe, Kimpembe, Kimpembe
Kimpembe, Kimpembe, Kimpembe
Le milieu est assuré
Attaquant, défense
Paulo, Paulo Paul Pogba
La Pioche Paulo, Paulo Paul Pogba
Ramenez la coupe à la maison
Allez les bleus, allez
20 ans après c'est le moment
Allez les bleus, allez
Ramenez la coupe à la maison
Allez les bleus, allez
20 ans après on est champion
Allez les bleus, allez
On est ensemble
Antoine Griezmann, pénalty
On est ensemble
On est ensemble
Nabil Fékir, Tolisso
On est ensemble
On est ensemble
Pavard, Ramy, Hernandez
On est ensemble
On est ensemble
Mandanda, Lloris, Sidibé
On est ensemble
On est ensemble
Olivier Giroud, Nzonzi
On est ensemble
Raphaël Varane, Flo' Thauvin
On est ensemble
Thomas Lemar, Areola
On est ensemble
Et ça c'est Vegedream de Gagnoa
Didier Deschamps, merci beaucoup
On est ensemble
On est ensemble"
Plus près des étoiles,Gold,"Ils ont quitté leurs terres
Leurs champs de fleurs et leurs livres sacrés
Traversés les rizières
Jusqu'au grand fleuve salé
Sans amour, sans un cri
Ils ont fermé leurs visages de miel
Les yeux mouillés de pluie
Les mains tendues vers le ciel
Un peu plus près des étoiles
Au jardin de lumière et d'argent
Pour oublier les rivages brûlants
Un peu plus près des étoiles
À l'abri des colères du vent
À peine un peu plus libres qu'avant
Au pied des murs de pierres
Ils ont brûlé leurs dragons de papier
Refermés leurs paupières
Sur les chenilles d'acier
Eux qui croyaient vieillir
En regardant grandir leurs enfants
À l'ombre du sourire
Des Bouddhas de marbre blanc
Un peu plus près des étoiles
Au jardin de lumière et d'argent
Pour oublier les rivages brûlants
Un peu plus près des étoiles
À l'abri des colères du vent
À peine un peu plus libres qu'avant
Ils parlent à demi-mots
À mi-chemin entre la vie et la mort
Et dans leurs yeux mi-clos
Du soleil, du soleil brille encore
Une île de lumière
Un cerf-volant s'est posé sur la mer
Un vent de liberté
Trop loin, trop loin pour les emporter
Un peu plus près des étoiles
Au jardin de lumière et d'argent
Pour oublier les rivages brûlants
Un peu plus près des étoiles
À l'abri des colères du vent
À peine un peu plus libres qu'avant
Un peu plus près des étoiles
Au jardin de lumière et d'argent
Pour oublier les rivages brûlants
Un peu plus près des étoiles
À l'abri des colères du vent
À peine un peu plus libres qu'avant
Un peu plus près des étoiles, au jardin
"
Nuit de Folie,Début de Soirée,"Y a pas de saison pour que vive la musique
Au fond, pas de saison pour que vive le son
En marchant tu donnes une cadence à tes pas
Tu sens la musique au bout de tes doigts
Tu dis que la vie qu'on t'a donnée est faite pour ça
Tant de choses grâce au son tu connaîtras
Ton cœur est un saphir de pick-up
On a trouvé des decibels dans ton check up
Et tu chantes, chantes, chantes ce refrain qui te plaît
Et tu tapes, tapes, tapes c'est ta façon d'aimer
Ce rythme qui t'entraîne jusqu'au bout de la nuit
Réveille en toi le tourbillon d'un vent de folie
Et tu chantes, chantes, chantes ce refrain qui te plaît
Et tu tapes, tapes, tapes c'est ta façon d'aimer
Ce rythme qui t'entraîne jusqu'au bout de la nuit
Réveille en toi le tourbillon d'un vent de folie
Tu danses le monde, musique américaine
La cadence du funk au plus haut t'emmène
Le tempo en délire, si ce soir il fait chaud
C'est qu'on monte nos mains vers le point le plus haut
Et tu chantes, chantes, chantes ce refrain qui te plaît
Et tu tapes, tapes, tapes c'est ta façon d'aimer
Ce rythme qui t'entraîne jusqu'au bout de la nuit
Réveille en toi le tourbillon d'un vent de folie
Et tu chantes, chantes, chantes ce refrain qui te plaît
Et tu tapes, tapes, tapes c'est ta façon d'aimer
Ce rythme qui t'entraîne jusqu'au bout de la nuit
Réveille en toi le tourbillon d'un vent de folie
Toi qui dessines au fond de ton ennui les notes d'une mélodie
Une musique sans accord majeur, c'est une piste sans danseur
Mais si tu ranges dans ces moments-là dans un placard tes idées noires
Les notes pourront se danser et nous reviendrons les chanter
Quand le sucre est tombé, choqué, le café renversé
Je sentais bien que la journée était mal commencée
Plus tard la caisse était cassée avant que craquent les chromes
Mettant la gomme j'avais détalé
La musique était mon sourire, les vieux succès mes souvenirs
On sent tous son dernier soupir lorsqu'on va mourir
Mais un souffle j'avais gardé car on ne peut pas trépasser
Chacun le sait sans voir un disque jockey
Et tu chantes, danses jusqu'au bout de la nuit
Tes flashes en musique funky
Y a la basse qui frappe et la guitare qui choque
Il y a le batteur qui s'éclate et toi qui tiens le choc
Et tu chantes, chantes, chantes ce refrain qui te plaît
Et tu tapes, tapes, tapes c'est ta façon d'aimer
Ce rythme qui t'entraîne jusqu'au bout de la nuit
Réveille en toi le tourbillon d'un vent de folie
Et tu chantes, chantes, chantes ce refrain qui te plaît
Et tu tapes, tapes, tapes c'est ta façon d'aimer
Ce rythme qui t'entraîne jusqu'au bout de la nuit
Réveille en toi le tourbillon d'un vent de folie
Et tu chantes, chantes, chantes ce refrain qui te plaît
Et tu tapes, tapes, tapes c'est ta façon d'aimer
Ce rythme qui t'entraîne jusqu'au bout de la nuit
Réveille en toi le tourbillon d'un vent de folie
"
Partenaire particulier,Partenaire particulier,"Je suis un être à la recherche
Non pas de la vérité
Mais simplement d'une aventure
Qui sorte un peu de la banalité
J'en ai assez de ce carcan
Qui m'enferme dans toutes ces règles
Ils me disent de rester dans la norme
Mais l'on finit par s'y ennuyer
Alors je cherche et je trouverai
Cette fille qui me manque tant
Alors je cherche et je trouverai
Cette fille qui me tente tant
Qui me tente tant
Partenaire particulier
Cherche partenaire particulière
Débloquée, pas trop timide
Et une bonne dose de savoir-faire
Savoir-faire
Vous comprendrez que de tels péchés
Parfois sont difficiles à avouer
Ils sont autour de moi si coincés
Ce n'est pas parmi eux que je trouverai
Je dois trouver de nouveaux horizons
Mais je finis parfois par tourner en rond
Alors je cherche et je trouverai
Cette fille qui me manque tant
Alors je cherche et je trouverai
Cette fille qui me tente tant
Qui me tente tant
Partenaire particulier
Cherche partenaire particulière
Débloquée, pas trop timide
Et une bonne dose de savoir-faire
Savoir-faire
Alors je cherche et je trouverai
Cette fille qui me manque tant
Alors je cherche et je trouverai
Cette fille qui me tente tant
Alors je cherche et je trouverai
Cette fille qui me manque tant
Alors je cherche et je trouverai
Cette fille qui me tente tant
Qui me tente tant
Partenaire particulier
Cherche partenaire particulière
Débloquée, pas trop timide
Et une bonne dose de savoir-faire
Savoir-faire
Partenaire particulier
Cherche partenaire particulière
Débloquée, pas trop timide
Et une bonne dose de savoir-faire
Partenaire particulier
Cherche partenaire particulière
Débloquée, pas trop timide
Et une bonne dose de savoir-faire
Partenaire particulier
Cherche partenaire particulière
Débloquée, pas trop timide
Et une bonne dose de savoir-faire
Partenaire particulier
Cherche partenaire particulière"
Toute première fois,Jeanne Mas,"Ah
Des gouttes salées
Ont déchiré
L'étrange pâleur d'un secret
Ah
Pourquoi ces mots
Si forts, si chauds
Qu'ils gémissaient sur ta peau
Te font l'effet d'un couteau?
Et tu recherches dans le vague
Une ombre, un sourire qui soulage
Une voix sans image
Un refrain qui voudrait crier
Toute première fois
Toute, toute première fois
Toute, toute première fois
Toute, toute première fois
Toute première fois
Toute, toute première fois
Toute, toute première fois
Toute, toute première fois
Ah
Lèvres séchées
Gorge nouée
Tes mains ne serrent qu'à fumer
Ah
Que d'insolence
Dans le silence
Qui trouble ton innocence
Un jeu mêlé de souffrances
Comme un guerrier que l'on blesse
Se cache dans son rêve
Se masque de tout son courage
Sans cesse continue le combat
Toute première fois
Toute, toute première fois
Toute, toute première fois
Toute, toute première fois
Comme la toute, toute première fois
Toute première fois
Toute, toute première fois
Toute, toute première fois
Toute, toute première fois
Toute première fois
Toute, toute première fois
Toute, toute première fois
Toute, toute première fois
Toute première fois
Toute, toute première fois
Toute, toute première fois
Toute, toute première fois"
Bande organisée,13' Organisé,"Oui, ma gâtée, RS4 gris nardo, bien sûr qu'ils m'ont raté (gros, bien sûr)
Soleil dans la bulle, sur le Prado, Shifter pro' (Shifter pro')
Contre-sens (ah), ma chérie, tu es à contre-sens
Puta, où tu étais quand j'mettais des sept euros d'essence (hein)
Tu veux nous faire la guerre (hein), par Dieu, c'est B (ah)
Ça prend ton Audi, ça prend ta gadji, ça prend ta CB (eh, eh)
Le téléphone bippe (brr), que tu prends la kew (ew)
C'est Marseille, bébé (ah), sa mère un CDD (ah)
Wesh alors, ma race, tranquille ou quoi (oh, mathafuck)
Grimpe dans la tchop, j'fais 0 à 100 en 2 secondes 3
Guitarisé, oh, AC/DC, oh, on s'croise, c'est sûr, tu es tétanisé
J'ai passé la bague à Tchikita, deux mois après, j'l'ai déjà quitté (ah, ah)
T'es un petit bâtard, j'suis un apache, j'suis un Diakité (eh)
J'suis le capitaine (eh), j'vais les décapiter (eh)
C'est pas la capitale (nan), c'est Marseille, bébé (pah, pah, pah)
1.3, Audi Sport, j'passe la douane, les rapports
Nique ta mère sur la Canebière, nique tes morts sur le Vieux-Port (Santé & Honneur)
Mi amor, c'est les quartiers Sud, c'est les quartiers Nord
Nique ta mère sur la Canebière, nique tes morts sur le Vieux-Port (ah)
J'suis à la zone, sans casque sur un scooter kit-é
Oublie-la, c'est une puta, elle t'a quitté
J'suis ailleurs, c'est d'la moula qu'j'ai effrité
Depuis t'à l'heure, que ça me nique mon briquet
Rafale, flow bazookaw, j'ai des potes qui s'déplacent au cas où
La moto, elle fait ""brm, brm, brm, brm"", toujours là, demande à Tikow
J'suis dans l'game en claquettes, survêt'
J'fuck les folles qui parlent de moi sur l'net
J'suis sous potion là, j'tire 2-3 sur l'pét'
Au fait, on grimpe, envoie les zéros sur l'chèque
Ah, ah, poto, que pasa, ah, ah, dans la cabesa
Ah, ah, grr, ratata, ah, ah, pour les mapesa
Ah, ah, poto, que pasa, ah, ah, dans la cabesa
Ah, ah, grr, ratata, ah, ah, pour les mapesa
Plus besoin d'aller chez Lacoste depuis qu'j'suis fait d'or et d'platine
Et sur Twitter, j'vois leurs posts, nique leurs mères ceux qui parlent mal d'la team
En bande organisée, personne peut nous canaliser
Dans la zone, ça fume la fusée, pisté par les banalisées
Hasta luego, fais-en un, hasta luego, fais-en deux
Hasta luego, ouh, ouh, hasta luego, bam, bam
C'est du 24 carats (nan), j'rappe depuis l'époque de Cara
La technique, le flow de malade, artistiquement, on se balade (ok)
T-Max, casque Araï, recherché à kech-Marra
J'lui envoie une frappe imparable, j'fais couler son mascara (ah, ah)
Le J, c'est le S (ok), hum, j'sors le RS (vroum, vroum)
Une liasse épaisse, arlabelek', N.A.P.S (ah, ah)
Le, le J, c'est le S (ok), hum, j'sors le RS (vroum, vroum)
Une liasse épaisse, arlabelek', N.A.P.S (ok)
Yo, cesse ton baratin (yeah), t'es qu'un fils de bar à tain-p' (ah)
J'commence le rap avec 7 et 3, à la rivière, j'ai touché la quinte
Yo, j'vise l'or, le platine (ah), à la base, c'était les assises
J'suis un peu d'Zampa, un peu d'Zizou (coup), j'offre un Ricard à Poutine
Jeune trafiquant dans le bâtiment, cavale comme Usain Bolt (ah, ah)
Je connais le maniement de mon département, le soir, pour te froisser ta go' (ah, ah, ah)
Et ça fait, zumba, caféw, caféw, carnaval
J'suis dans l'4x4 teinté, pisté par la banal'
Et ça fait, zumba, caféw, caféw, carnaval
J'suis dans l'4x4 teinté, pisté par la banal'
En bande organisée, personne peut nous canaliser
Dans la zone, ça fume la fusée, pisté par les banalisées
Hasta luego, fais-en un, hasta luego, fais-en deux
Hasta luego, ouh, ouh, hasta luego, bam, bam
Égal, illégal (eh), Alpha, Oméga (vroum)
On fait coup d'état, balle dans la te-tê, c'est la cuenta (vroum)
Poursuite, y a les bleus (bleus), serein, j'sors d'la bleue (bleue)
Ter-ter, guidon, logistique, par terre, du sang balistique
A-tchu-tchu-tcha (tcha), c'est une salvatrucha ('cha)
Trafic haram (ah), Marseille, on trouve des cadavres (ouais)
Marseille hala, plus d'âme, les petits passent à l'acte (ouais)
Milli', j'veux l'milli' comme l'OVNI (hum), ces filha puta, j'les finis
Yah, on les rend amis, ennemis, yah, on les rend ennemis, amis, yah
J'ai les poches pleines, tu m'suis, j'ai fait le calcul de plus le calculer lui, yah (ouh)
Comportement dans la zone, yah, comporte avec les hommes, yah
Garde la pêche, moi, j'ai la forme, forme, temenik, on te déforme
Car c'est trop vrai, t'as l'regard et l'fond mauvais, quand j'galère, toi t'es refait (eh)
Au lit, t'es mauvais (eh), ta gadji, on la connaît (eh, eh)
Au parloir, elle a tourné (eh, eh), cognée par des prisonniers (ouh, ouh)
Tu dois des sous, sous, sous, tu fais la mala dans les ""boum, boum, boum""
Pour de la monnaie, on te click, click, boum, l'alcool, on la glou, glou, glou (glou, glou, glou)
Tu dois des sous, sous, sous, tu fais la mala dans les ""boum, boum, boum""
Pour de la monnaie, on te click, click, boum, l'alcool, on la glou, glou, glou (glou, glou, glou)
Wesh, tu veux pas la guerre mais pourquoi tu allumes la mèche (mèche, mèche)
J'suis dans la zone, j'évite les putas, wesh
Moi, j'écoute pas les gens et ma Clio, elle est sur les jantes
J'fais que fumer le jaune, des fois, avec un peu de Marie-Jeanne
Hier, j'étais bleu, j'voulais un Porsche GT bleu (bleu)
Y avait le pain, on était plein, y avait pas un, on était deux (deux)
J'suis dans le bloc, ma biche, dans la zone, c'est chacun sa kich' (sa kich')
Y a eu des traîtres, des traîtres, des traîtres, nique sa mère, c'est rien, ma3lich
Au quartier, y a d'la vente d'armes, nouvelle paire, j'paye en espèces
Fais belek, y a les gendarmes, ils sont loin, c'est bon, déstresse
C'est tous pour la plata, retour de flamme, fumar mata (brh)
Ça danse en équipe sur le chant des ""ratata""
En bande organisée, personne peut nous canaliser
Dans la zone, ça fume la fusée, pisté par les banalisées
Hasta luego, fais-en un, hasta luego, fais-en deux
Hasta luego, ouh, ouh, hasta luego, bam, bam
En bande organisée, personne peut nous canaliser
Dans la zone, ça fume la fusée, pistés par les banalisées
Hasta luego, fais-en un, hasta luego, fais-en deux
Hasta luego, ouh, ouh, hasta luego, bam, bam"
La kiffance,Naps,"Okay
Prépare les valises, ma jolie (Zeg P on the track, bitch)
Tout ça, c'est fini
J'vais t'faire kiffer les week-ends, ma jolie (okay)
Elle m'parle plus du quartier, du shit, d'la police (ouh-ouh)
Toute la semaine, comme le J, en folie (han)
J'fais des cendriers-canettes dans l'Audi (vroum)
J'passe les vitesses aux palettes vers Conti
Vas-y, garde-moi la barrette, là, j'suis en condi'
Comme à l'ancienne, j'mets le polo crocodile (ouais)
Bronzage doré à l'huile de cocotier (okay)
Voyager jusqu'au Nirvana
Hôtel cinq étoiles, prendre le p'tit déj' en pyjama
Faire un p'tit pétou sur le Mont Fujiyama
Faire le tour d'la Thaïlande en 500 Yamaha (okay)
Faut j'quitte la France, elle a fait la petite frange
C'est la kiffance, c'est la kiffance
Que je dépense, gros joint devant la Défense
C'est la kiffance, c'est la kiffance (ouh-ouh)
J'prends Uber Eats, j'suis calé au George V
À la Ribéry, j'mange des entrecôtes à mille-cinq
J'vais faire un tour, j'suis sans casque en 125 (vroum-vroum)
J'suis dans la kiffance, j'me sens plus d'attendre le 5
J'fais plaisir à ma mère, dans l'ménage, elle a trop souffert (ouais, ouais)
Ma mère, c'est ma reine, j'la laisse même pas mettre les couverts (gamberge)
Quand j'étais en galère, elle m'dépannait à découvert (ouh)
Dernier Range Rover, que je rôde le toit ouvert
Faut j'quitte la France, elle a fait la petite frange (okay)
C'est la kiffance (okay), c'est la kiffance (okay)
Que je dépense, gros joint devant la Défense (ouh)
C'est la kiffance (ouh), c'est la kiffance (ouh-ouh)
Voyager jusqu'au Nirvana
Hôtel cinq étoiles, prendre le p'tit déj' en pyjama
Faire un p'tit pétou sur le Mont Fujiyama
Faire le tour d'la Thaïlande en 500 Yamaha (okay)
Faut j'quitte la France, elle a fait la petite frange (okay)
C'est la kiffance, c'est la kiffance (Manny)
Que je dépense, gros joint devant la Défense (okay)
C'est la kiffance (ouh), c'est la kiffance (ouh, ouh)
Faut j'quitte la France, elle a fait la petite frange (okay)
C'est la kiffance, c'est la kiffance
Que je dépense, gros joint devant la Défense
C'est la kiffance, c'est la kiffance
Voyager jusqu'au Nirvana
Hôtel cinq étoiles, prendre le p'tit déj' en pyjama (okay)
P'tit pétou sur le Mont Fujiyama
C'est la kiffance"
